Date,Station,Entries
3/13/2023,Dunn Loring,4.0
3/13/2023,Capitol South,4.0
3/15/2023,Navy Yard-Ballpark,1399.0
3/15/2023,Stadium-Armory,637.0
3/15/2023,Suitland,1032.0
3/15/2023,Huntington,1778.0
3/15/2023,Bethesda,1504.0
3/15/2023,Dupont Circle,1813.0
3/15/2023,Addison Road,195.0
3/15/2023,Eisenhower Ave,383.0
3/15/2023,Minnesota Ave,437.0
3/15/2023,Dupont Circle,1947.0
3/15/2023,Franconia-Springfield,513.0
3/15/2023,Cleveland Park,554.0
3/15/2023,Foggy Bottom-GWU,5585.0
3/15/2023,Federal Center SW,170.0
3/15/2023,Eastern Market,512.0
3/15/2023,Capitol South,394.0
3/15/2023,Dunn Loring,341.0
3/15/2023,Federal Center SW,1756.0
3/14/2023,Court House,20.0
3/15/2023,McLean,263.0
3/15/2023,King St-Old Town,327.0
3/15/2023,Cheverly,70.0
3/14/2023,U Street,7.0
3/14/2023,Rhode Island Ave,3.0
3/14/2023,East Falls Church,7.0
3/14/2023,Eisenhower Ave,0.0
3/14/2023,Glenmont,9.0
3/14/2023,Bethesda,4.0
3/16/2023,Cleveland Park,244.0
3/16/2023,Glenmont,103.0
3/16/2023,West Hyattsville,77.0
3/16/2023,Shady Grove,177.0
3/16/2023,Spring Hill,126.0
3/16/2023,Smithsonian,1845.0
3/16/2023,Shaw-Howard U,637.0
3/16/2023,Grosvenor-Strathmore,1370.0
3/16/2023,Georgia Ave-Petworth,968.0
3/16/2023,Shaw-Howard U,1029.0
3/16/2023,Federal Triangle,2890.0
3/16/2023,Wiehle-Reston East,67.0
3/16/2023,Medical Center,1594.0
3/16/2023,Greenbelt,395.0
3/16/2023,Smithsonian,5179.0
3/16/2023,Navy Yard-Ballpark,1109.0
3/16/2023,Tenleytown-AU,640.0
3/16/2023,Wheaton,466.0
3/16/2023,Virginia Sq-GMU,842.0
3/16/2023,Dunn Loring,374.0
3/15/2023,Tenleytown-AU,19.0
3/15/2023,Braddock Road,19.0
3/15/2023,Federal Triangle,4.0
3/15/2023,Wheaton,15.0
3/15/2023,Potomac Ave,1.0
3/16/2023,Arlington Cemetery,749.0
3/15/2023,Cheverly,2.0
3/15/2023,Landover,3.0
3/17/2023,Farragut West,3265.0
3/17/2023,Capitol Heights,136.0
3/17/2023,West Hyattsville,326.0
3/17/2023,Judiciary Square,1321.0
3/17/2023,Gallery Place,5785.0
3/17/2023,Franconia-Springfield,177.0
3/17/2023,Downtown Largo,70.0
3/17/2023,Glenmont,124.0
3/17/2023,Farragut North,1266.0
3/18/2023,Columbia Heights,1041.0
3/17/2023,Brookland-CUA,1137.0
3/18/2023,Federal Triangle,1075.0
3/18/2023,Fort Totten,709.0
3/17/2023,Federal Triangle,52.0
3/17/2023,Pentagon City,1208.0
3/17/2023,Ronald Reagan Washington National Airport,470.0
3/17/2023,Navy Yard-Ballpark,1131.0
3/17/2023,Smithsonian,2196.0
3/17/2023,Twinbrook,533.0
3/17/2023,Southern Ave,390.0
3/17/2023,Minnesota Ave,230.0
3/18/2023,Glenmont,288.0
3/18/2023,Rockville,194.0
3/18/2023,Hyattsville Crossing,296.0
3/18/2023,Archives,194.0
3/18/2023,Southern Ave,175.0
3/18/2023,Judiciary Square,1387.0
3/16/2023,NoMa-Gallaudet U,11.0
3/17/2023,Foggy Bottom-GWU,819.0
3/17/2023,Deanwood,168.0
3/18/2023,Medical Center,56.0
3/17/2023,Eisenhower Ave,120.0
3/18/2023,Congress Heights,181.0
3/17/2023,Capitol Heights,522.0
3/17/2023,Branch Ave,370.0
3/17/2023,Federal Center SW,4.0
3/17/2023,Cheverly,2.0
3/19/2023,Stadium-Armory,100.0
3/19/2023,Metro Center,2113.0
3/19/2023,Greensboro,118.0
3/19/2023,Fort Totten,938.0
3/19/2023,Bethesda,533.0
3/19/2023,Grosvenor-Strathmore,129.0
3/19/2023,Huntington,70.0
3/19/2023,Hyattsville Crossing,402.0
3/19/2023,U Street,799.0
3/19/2023,Huntington,203.0
3/19/2023,Foggy Bottom-GWU,274.0
3/19/2023,Wheaton,103.0
3/19/2023,NoMa-Gallaudet U,2310.0
3/18/2023,Gallery Place,5058.0
3/18/2023,Friendship Heights,336.0
3/18/2023,Mt Vernon Sq,459.0
3/18/2023,Suitland,75.0
3/18/2023,Spring Hill,71.0
3/19/2023,West Falls Church,70.0
3/19/2023,Rosslyn,877.0
3/19/2023,Van Dorn Street,31.0
3/18/2023,Medical Center,87.0
3/19/2023,Stadium-Armory,308.0
3/18/2023,Twinbrook,171.0
3/18/2023,Glenmont,188.0
3/19/2023,Spring Hill,61.0
3/19/2023,Georgia Ave-Petworth,187.0
3/18/2023,Bethesda,24.0
3/18/2023,Morgan Boulevard,1.0
3/18/2023,Landover,2.0
3/18/2023,Greensboro,6.0
3/18/2023,Ronald Reagan Washington National Airport,41.0
3/18/2023,Judiciary Square,10.0
3/18/2023,Van Dorn Street,3.0
3/18/2023,Branch Ave,2.0
3/18/2023,McLean,6.0
3/16/2023,Deanwood,2.0
3/17/2023,Capitol South,12.0
3/17/2023,Arlington Cemetery,3.0
3/20/2023,Bethesda,1110.0
3/20/2023,Tysons,149.0
3/20/2023,Dunn Loring,635.0
3/20/2023,Silver Spring,1061.0
3/20/2023,McPherson Sq,1191.0
3/20/2023,Braddock Road,837.0
